Modell;Leistung;Beschleunigung 0-100 km/h in sekunden;Preis (€);Verbrauch (€ / 100km);CO2-Emissionen (g/km);Höchstgeschwindigkeit;Drehmoment;Leergewicht;Sitzplätze;Kofferraumvolumen in L;Länge;Fahrzeugklasse;Motorart
C 180;193;8,6;45.202,15;10,71;143;231;250;1.645;5;455;4.751;Limousine;Verbrenner
C 200;227;7,3;49.515,90;10,71;144;246;300;1.665;5;455;4.751;Limousine;Verbrenner
C 200 d;186;7,7;48.058,15;7,82;120;230;380;1.745;5;455;4.751;Limousine;Verbrenner
C 200 4MATIC;227;7,1;51.895,90;11,22;150;241;300;1.725;5;455;4.751;Limousine;Verbrenner
C 220 d;220;7,3;52.163,65;7,65;119;245;440;1.745;5;455;4.751;Limousine;Verbrenner
C 220 d 4MATIC;220;7,4;54.543,65;8,16;126;239;440;1.810;5;455;4.751;Limousine;Verbrenner
C 300;281;6;58.988,30;11,05;148;250;400;1.715;5;455;4.751;Limousine;Verbrenner
C 300 4MATIC;281;6;61.368,30;11,56;154;250;400;1.790;5;455;4.751;Limousine;Verbrenner
C 300 d;288;5,7;62.885,55;8,67;133;250;550;1.815;5;455;4.751;Limousine;Verbrenner
C 300 d 4MATIC;288;6,9;65.265,55;8,84;136;250;550;1.855;5;455;4.751;Limousine;Verbrenner
Mercedes-AMG C 43 4MATIC Limousine;422;4,6;84.246,05;14,79;197;250;500;1.840;5;455;4.751;Limousine;Verbrenner
Mercedes-AMG C 63 E PERFORMANCE;680;3,4;115.174,15;14,79;156;280;1.020;2.165;5;280;4.751;Limousine;Verbrenner
E 200 Limousine;227;7,5;61.999,00;10,88;144;240;320;1.825;5;540;4.949;Limousine;Verbrenner
E 200 4MATIC Limousine;227;7,6;64.736,00;11,56;155;236;320;1.890;5;540;4.949;Limousine;Verbrenner
E 220 d Limousine;220;7,6;64.319,50;8,16;125;238;440;1.915;5;540;4.949;Limousine;Verbrenner
E 220 d 4MATIC Limousine;220;7,8;67.056,50;8,33;130;234;440;1.975;5;540;4.949;Limousine;Verbrenner
E 450 4MATIC Limousine;404;4,5;82.169,50;12,92;172;250;500;1.970;5;540;4.949;Limousine;Verbrenner
E 450 d 4MATIC Limousine;390;4,8;85.858,50;10,03;155;250;750;2.065;5;540;4.949;Limousine;Verbrenner
S 350 d Limousine;333;5,8;112.086,10;10,03;154;250;650;2.090;5;540;5.179;Limousine;Verbrenner
S 350 d 4MATIC Limousine;333;5,5;115.894,10;10,38;160;250;650;2.125;5;540;5.179;Limousine;Verbrenner
S 450 4MATIC Limousine;404;5;122.439,10;13,77;184;250;500;2.070;5;540;5.179;Limousine;Verbrenner
S 450 d 4MATIC Limousine;390;5;123.629,10;10,53;163;250;750;2.125;5;540;5.179;Limousine;Verbrenner
S 500 4MATIC Limousine;472;4,7;133.518,00;14,11;188;250;560;2.085;5;540;5.179;Limousine;Verbrenner
S 580 4MATIC Limousine;526;4,4;139.825,00;16,83;225;250;700;2.140;5;540;5.179;Limousine;Verbrenner
S 350 d Limousine lang;333;5,6;115.299,10;10,03;156;250;650;2.110;5;540;5.289;Limousine;Verbrenner
S 350 d 4MATIC Limousine lang;333;5,5;119.107,10;10,38;161;250;650;2.145;5;540;5.289;Limousine;Verbrenner
S 450 4MATIC Limousine lang;404;5;126.128,10;13,94;185;250;500;2.090;5;540;5.289;Limousine;Verbrenner
